expression,reading,meaning,tags,guid
踏む,ふむ,"to step on, to tread on",JLPT JLPT_N4,MD)?c2/f%j
～区,～く,"~ district, ~ ward, ~ borough",JLPT JLPT_N4,jyNlO!<_rh
すっと,すっと,"straight, quickly",JLPT JLPT_N4,k|7>>bJ_;p
盗む,ぬすむ,to steal; to rob,Genki Genki_Ln.21 JLPT JLPT_N4,yRRr.o{S!G
大抵,たいてい,"generally, usually",Genki Genki_Ln.3 JLPT JLPT_N4,F4RWhn9KV7
とうとう,とうとう,"finally, at last",JLPT JLPT_N4,b~a!BAlss]
ガソリン,ガソリン,"gasoline, petrol",Genki Genki_Ln.21 JLPT JLPT_N4,DtjnF2f-}S
鳴る,なる,"to sound, to ring (v.i.)",Intermediate_Japanese_Ln.2 JLPT JLPT_N4,N2XM.u#*9T
しっかり,しっかり,"firmly, steady",JLPT JLPT_N4,s1@<ogH]|l
生きる,いきる,to live,JLPT JLPT_N4,PsYPR<^eS}
苦い,にがい,bitter,JLPT JLPT_N4,s7onh_qmu>
沸く,わく,"to boil, to grow hot",JLPT JLPT_N4,PG:x_[8:n{
意見,いけん,"opinion, view, idea",JLPT JLPT_N4,rm|oi`$1Dg
やはり; やっぱり,やはり; やっぱり,"as I thought, absolutely",JLPT JLPT_N4,uKv@@b~bnv
漫画,まんが,"comic (book), cartoon",Genki Genki_Ln.14 JLPT JLPT_N4,l|R^YmR+|c
ステレオ,ステレオ,stereo,JLPT JLPT_N4,j)<hxBenH^
医学,いがく,medical science,JLPT JLPT_N4,j>$AcgpmMe
テキスト,テキスト,text; text book,JLPT JLPT_N4,tNueVeWq/i
～月,～つき,month,JLPT JLPT_N4,fmd>SOFFek
折る,おる,"to snap, to break; to bend",JLPT JLPT_N4,yVVu7>5}8_
～会,～かい,~ meeting,JLPT JLPT_N4,q`5&BgJq(Y
うかがう,うかがう,to ask,JLPT JLPT_N4,i(<6VU5W9O
聞こえる,きこえる,"to be heard, to be audible",JLPT JLPT_N4,quf~I<>p>
僕,ぼく,I (used by men towards those of equal or lower status),Genki Genki_Ln.5 JLPT JLPT_N4,sZrMWgN[D[
必ず,かならず,"surely, certainly",Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t=>{J>bIy^
壊す,こわす,"to break, to break down",JLPT JLPT_N4,d^9}5OH`;*
怒る,おこる,to get angry; to scold angrily,Genki Genki_Ln.19 JLPT JLPT_N4,Ib^RmCfT#f
床屋,とこや,barber's (shop),Genki Genki_Ln.10 Intermediate_Japanese_Ln.6 JLPT JLPT_N4,t^jDr`iefA
オートバイ,オートバイ,motorcycle (lit: auto-bi(ke)),JLPT JLPT_N4,Pt[L]fX^FJ
運動,うんどうする,exercise,JLPT JLPT_N4,=pK+M[-/J
止む,やむ,"to cease, to stop",JLPT JLPT_N4,i[hf?*~a)V
もし,もし,if,JLPT JLPT_N4,oLI2n{GVOs
表,おもて,surface; front; outside,JLPT JLPT_N4,qP[jTS0$-o
大学生,だいがくせい,"college student, university student",Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_N4,cCEA>;7p%n
運転手,うんてんしゅ,driver (by occupation),Intermediate_Japanese_Ln.6 JLPT JLPT_N4,c=1Zd>L>/{
予習,よしゅう,preparation of lessons (for class),Genki Genki_Ln.22 Intermediate_Japanese_Ln.5 JLPT JLPT_N4,A$348:bL<R
心配,しんぱいする,"worry, concern",JLPT JLPT_N4,reB^;ntMm;
別,べつ,"distinction, different",JLPT JLPT_N4,pvVM*k}K*D
非常に,ひじょうに,extremely; very,Intermediate_Japanese_Ln.2 JLPT JLPT_N4,Ih.~ep.W8C
お宅,おたく,(someone else's) house; home -- polite word for 家 (いえ) --,Genki Genki_Ln.13 Intermediate_Japanese_Ln.7 JLPT JLPT_N4,"G:h,g@5k[b"
柔らかい,やわらかい,"soft (in reference to texture), tender",JLPT JLPT_N4,Mb;<89jf/c
拾う,ひろう,"to pick up (something), to find",Genki Genki_Ln.22 JLPT JLPT_N4,A7mxJIkuGg
～ございます,～ございます,"to be (polite), to exist",JLPT JLPT_N4,kMO?quX[B$
気,き,"spirit, mood",JLPT JLPT_N4,N`FU2bb#2c
比べる,くらべる,to compare,JLPT JLPT_N4,OXHWkwV:?8
ほとんど,ほとんど,"mostly, almost",Intermediate_Japanese_Ln.7 JLPT JLPT_N4,nQ>_aG@b-U
つもり,つもり,"intention, plan",JLPT JLPT_N4,fOH84**JB]
郊外,こうがい,"suburb, outskirts",JLPT JLPT_N4,m[#TphS~Yp
だめ,だめ,"useless, no good, hopeless",JLPT JLPT_N4,F`}=@;2gGr
売り場,うりば,place where things are sold,JLPT JLPT_N4,g8Zs2)0MYs
正月,しょうがつ,"New Year, New Year's Day",JLPT JLPT_N4,z?cV&4IRT$
規則,きそく,"rule, regulation",JLPT JLPT_N4,"fX,<9qoCbI"
うん,うん,"yes (informal), all right (ok)",Genki Genki_Ln.8 JLPT JLPT_N4,AU=4aGU<;g
発音,はつおん,pronunciation,JLPT JLPT_N4,ij2OK3T1KH
焼く,やく,"to bake, to grill",Genki Genki_Ln.21 JLPT JLPT_N4,ze5y7QDk;*
屋上,おくじょう,rooftop,JLPT JLPT_N4,dNyWHH2le2
失礼,しつれい,"discourtesy, impoliteness; Excuse me",JLPT JLPT_N4,i}rJ2aUEQY
ごみ,ごみ,"trash, garbage",Genki Genki_Ln.16 JLPT JLPT_N4,l0zGWz;u*B
アフリカ,アフリカ,Africa,JLPT JLPT_N4,s(eSC66i0(
点,てん,"mark, score, grade; point, dot",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,xl]z9.M3ii
一生懸命,いっしょうけんめい,"very hard (as in ""to work hard""), with utmost effort",Intermediate_Japanese_Ln.5 JLPT JLPT_N4,x}#WG:x<B%
今度,こんど,"now, this time, near future, one of these days, next time",Genki Genki_Ln.9 JLPT JLPT_N4,"c3M,%sgpuH"
機会,きかい,"chance, opportunity",JLPT JLPT_N4,QN(r}6a#1P
建てる,たてる,to build,JLPT JLPT_N4,p>?r}3Zl{s
複雑,ふくざつ,"complexity, complication",JLPT JLPT_N4,CH}=lqHM1.
彼,かれ,"he, boyfriend",Genki Genki_Ln.12 Intermediate_Japanese_Ln.8 JLPT JLPT_N4,t}ZPEKulM{
いらっしゃる,いらっしゃる,"-- honorific expression for いく, くる, and いる --",Genki Genki_Ln.19 JLPT JLPT_N4,q4xt(yor`^
布団,ふとん,futon,JLPT JLPT_N4,o9cl6;pq_D
大事,だいじ,"important, valuable, serious matter",JLPT JLPT_N4,K-;(kx?ed|
贈り物,おくりもの,a gift; a present,Intermediate_Japanese_Ln.9 JLPT JLPT_N4,ea]7XukKd^
泥棒,どろぼう,thief; burglar,Genki Genki_Ln.21 JLPT JLPT_N4,q/[sonb>SP
～製,～せい,made in ~,JLPT JLPT_N4,I|]_Gf;YLD
注意,ちゅうい,"caution, attention",JLPT JLPT_N4,tSqn:MggQx
台風,たいふう,typhoon,Genki Genki_Ln.16 JLPT JLPT_N4,uFiu<};|%T
日,ひ,"sun, sunshine, day",Genki Genki_Ln.16 JLPT JLPT_N4,Ap$ELNr5>B
～軒,～けん,counter for houses,JLPT JLPT_N4,"KbFf,NH{5y"
そう,そう,"really, (is that) so; yes, right",JLPT JLPT_N4,wr0#d-auwR
通る,とおる,"to pass (by), to go through",JLPT JLPT_N4,z?tZP}u#Ea
過ぎる,すぎる,"to exceed, to go beyond",JLPT JLPT_N4,O_}jg<!z1-
レポート; リポート,レポート; リポート,report,JLPT JLPT_N4,xai}>:G-4a
葉,は,leaf,JLPT JLPT_N4,xQbxW<V1k4
