expression,reading,meaning,tags,guid
作法,さほう,"manners, etiquette, propriety",JLPT JLPT_2 JLPT_3,HYeQ[!t+v+
様々,さまざま,"varied, various",JLPT JLPT_2 JLPT_3,l>?/o{CjV<
冷ます,さます,"to cool, to let cool",JLPT JLPT_2 JLPT_3,m(o0n4^}Z$
覚ます,さます,to awaken,JLPT JLPT_2 JLPT_3,t9@aJ[u<UZ
冷める,さめる,"to become cool, to wear off",JLPT JLPT_2 JLPT_3,LR.A;82:W|
覚める,さめる,"to wake, to wake up",JLPT JLPT_2 JLPT_3,Dob+O4(+<L
左右,さゆう,left and right; influence,JLPT JLPT_2 JLPT_3,d8br}6f4&T
皿,さら,"plate, dish",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,p*f@mDk_ih
更に,さらに,"furthermore, moreover",JLPT JLPT_2 JLPT_3,n=YLy+|9V>
去る,さる,"to leave, to go away",JLPT JLPT_2 JLPT_3,q:@^dVE|Ux
猿,さる,monkey,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,I;FmV}C|Mm
騒ぎ,さわぎ,"uproar, disturbance",JLPT JLPT_2 JLPT_3,"b-,^J/-<a("
参加,さんか,participation,JLPT JLPT_2 JLPT_3,NJ??D?6U!^
参考,さんこう,"reference, consultation",JLPT JLPT_2 JLPT_3,Han8<B?^r0
賛成,さんせい,"approval, agreement",JLPT JLPT_2 JLPT_3,"emfZ/!E,?["
酸性,さんせい,acidity,JLPT JLPT_2 JLPT_3,geVhjMXt@#
酸素,さんそ,oxygen,JLPT JLPT_2 JLPT_3,DM##q[%RFu
氏,し,"family name, lineage",JLPT JLPT_2 JLPT_3,LAOK_nHPS/
詩,し,poem; poetry,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,PI;rr><.*1
幸せ,しあわせ,"happiness, blessing",JLPT JLPT_2 JLPT_3,MYpn~@*11o
ジーンズ,ジーンズ,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,o3hhzYEH)l
ジェット機,ジェットき,jet plane,JLPT JLPT_2 JLPT_3,fS!]EX&j7m
四角,しかく,square,JLPT JLPT_2 JLPT_3,J[L(f7xE~B
直に,じかに,"immediately, readily, directly",JLPT JLPT_2 JLPT_3,"Gui,0]IdY5"
しかも,しかも,"moreover, furthermore, besides, plus",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,NW!O~u6B#]
四季,しき,four seasons,JLPT JLPT_2 JLPT_3,j=w0weSQi)
直,じき,"immediately, soon, shortly",JLPT JLPT_2 JLPT_3,wd?tx<3Bac
時期,じき,"time, season, period",JLPT JLPT_2 JLPT_3,DJ<W>Fb$j>
支給,しきゅう,"payment, allowance",JLPT JLPT_2 JLPT_3,MpCDrKuR@c
至急,しきゅう,"urgent, pressing",JLPT JLPT_2 JLPT_3,"K+,ttKQ<dz"
しきりに,しきりに,"frequently, repeatedly, eagerly",JLPT JLPT_2 JLPT_3,E|Rw@W(/Em
刺激,しげき,"stimulus, impetus, incentive",JLPT JLPT_2 JLPT_3,PD*^rLK60i
資源,しげん,resources,JLPT JLPT_2 JLPT_3,m(PG+T&|gr
事件,じけん,"event, affair, incident",JLPT JLPT_2 JLPT_3,MbFCnlA+g8
時刻,じこく,"time, hour",JLPT JLPT_2 JLPT_3,"oN.E,s)Z}n"
自殺,じさつ,suicide,JLPT JLPT_2 JLPT_3,y#JDw}f8E1
事実,じじつ,"fact, truth, reality",JLPT JLPT_2 JLPT_3,qUB-Jtt?i`
支出,ししゅつ,"expenditure, expenses",JLPT JLPT_2 JLPT_3,PrmuroD(_w
事情,じじょう,"circumstances, situation, reasons",JLPT JLPT_2 JLPT_3,B&D.VmCJRe
詩人,しじん,poet,JLPT JLPT_2 JLPT_3,J|*bb(L^Qr
自身,じしん,oneself,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Mms_kL$qBA
沈む,しずむ,to sink; to feel depressed,JLPT JLPT_2 JLPT_3,v(wY-5e=dv
自然,しぜん,"nature, spontaneous",JLPT JLPT_2 JLPT_3,K#D]Lme)]J
思想,しそう,"thought, idea",JLPT JLPT_2 JLPT_3,"udM,dvR}EZ"
舌,した,tongue,JLPT JLPT_2 JLPT_3,i22E-x*lSS
次第,しだい,order; circumstances; immediate(ly),JLPT JLPT_2 JLPT_3,m7IQESq>:Z
従う,したがう,"to abide (by the rules), to obey",JLPT JLPT_2 JLPT_3,jQOK[Z2G2a
したがって,したがって,"therefore, consequently",JLPT JLPT_2 JLPT_3,zE+XZL-yO%
親しい,したしい,"intimate, close (e.g., friend)",JLPT JLPT_2 JLPT_3,JLb1]#eUH.
質,しつ,"quality, nature (of person)",JLPT JLPT_2 JLPT_3,i9bGgE8&)u
失業,しつぎょう,unemployment,JLPT JLPT_2 JLPT_3,L*e(K1S8y>
湿気,しっけ,"moisture, humidity, dampness",JLPT JLPT_2 JLPT_3,mI:_~nX$Y!
実験,じっけん,lab work; experiment,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,hmPfhao45;
実現,じつげん,"implementation, materialization, realization",JLPT JLPT_2 JLPT_3,fGH.>rJnym
実行,じっこう,"practice, execution (e.g., program), realization",JLPT JLPT_2 JLPT_3,O_Qp[P4rQP
実際,じっさい,in fact; in actuality,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,"B6Z:.Y11k,"
実施,じっし,"enforcement, carry out, operation",JLPT JLPT_2 JLPT_3,dXLqmB^MiP
湿度,しつど,humidity,JLPT JLPT_2 JLPT_3,lZGX2R~;Bn
じっと,じっと,"patiently, quietly",JLPT JLPT_2 JLPT_3,Nkvz[eNt`n
実に,じつに,"indeed, truly, surely",JLPT JLPT_2 JLPT_3,I|OQWMaQog
実は,じつは,actually; in fact,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,s#X::H+4<F
失望,しつぼう,"disappointment, despair",JLPT JLPT_2 JLPT_3,mi8g|r~Txf
実力,じつりょく,ability; force,JLPT JLPT_2 JLPT_3,F5g81kES4+
支店,してん,branch store (office),JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,h*O$^StSa>
指導,しどう,"leadership, guidance, coaching",JLPT JLPT_2 JLPT_3,AKsjeKTYcK
自動,じどう,"automatic, self-motion",JLPT JLPT_2 JLPT_3,O4.zUw/o_S
児童,じどう,"children, juvenile",JLPT JLPT_2 JLPT_3,"e,|tEbv]Zq"
品,しな,"thing, article, goods",JLPT JLPT_2 JLPT_3,bDnAvhtlH7
支配,しはい,"rule, control, direction",JLPT JLPT_2 JLPT_3,GJx2Cizi1x
芝居,しばい,"play, drama",JLPT JLPT_2 JLPT_3,gtSlTkyCFW
しばしば,しばしば,"often, again and again, frequently",JLPT JLPT_2 JLPT_3,oKzAa``eqH
芝生,しばふ,lawn,JLPT JLPT_2 JLPT_3,"wbx:,PABM*"
支払,しはらい,payment,JLPT JLPT_2 JLPT_3,Ev?:EQ7Ks`
支払う,しはらう,to pay,JLPT JLPT_2 JLPT_3,"ND2,<K].}x"
死亡,しぼう,death,JLPT JLPT_2 JLPT_3,zYjIN3r3C
資本,しほん,"funds, capital",JLPT JLPT_2 JLPT_3,K]eJp4bmn-
姉妹,しまい,sisters,JLPT JLPT_2 JLPT_3,D=K+>4{9gs
しまった (かん),しまった (かん),Damn it!,JLPT JLPT_2 JLPT_3,lG^NNUo)xn
自慢,じまん,"pride, boast",JLPT JLPT_2 JLPT_3,I/xy:2]J/|
地味,じみ,"quiet, plain, conservative",JLPT JLPT_2 JLPT_3,o(yU(Vt?_.
示す,しめす,"to show, to indicate",JLPT JLPT_2 JLPT_3,Jd8*LeirRj
占める,しめる,to take up; to account for,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,r`M6Y4!/$F
湿る,しめる,"to be wet, to be damp",JLPT JLPT_2 JLPT_3,uFiSD0nBbH
下,しも,"under, below, beneath",JLPT JLPT_2 JLPT_3,"NEdu]f-jA,"
霜,しも,frost,JLPT JLPT_2 JLPT_3,r%B(k2*%-2
借金,しゃっきん,"debt, loan, liabilities",JLPT JLPT_2 JLPT_3,HTrhI~ql4k
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,xm(;YK[sEF
週,しゅう,week,JLPT JLPT_2 JLPT_3,"x+o,UuIX0t"
州,しゅう,"state, province",JLPT JLPT_2 JLPT_3,"P_~2Qd-Z,0"
銃,じゅう,gun,JLPT JLPT_2 JLPT_3,g}R=q_AV`]
周囲,しゅうい,"surroundings, circumference, environs",JLPT JLPT_2 JLPT_3,k;vO#x`Yq;
収穫,しゅうかく,"harvest, crop, ingathering",JLPT JLPT_2 JLPT_3,Q1;gC;3=ME
宗教,しゅうきょう,religion,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,h2}ja7i^zZ
重視,じゅうし,"importance, stress",JLPT JLPT_2 JLPT_3,p)R=DLs-/X
就職,しゅうしょく,finding employment,JLPT JLPT_2 JLPT_3,G#y*V:{2Bq
ジュース,ジュース,"juice, soft drink; deuce",JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki,w1Xid7|yfz
修正,しゅうせい,"amendment, correction",JLPT JLPT_2 JLPT_3,gUKGu[G9oC
重体,じゅうたい,"seriously ill, critical state",JLPT JLPT_2 JLPT_3,"F]Ml+g6],&"
渋滞,じゅうたい,"congestion (e.g., traffic), delay",JLPT JLPT_2 JLPT_3,f6HLmc1`E?
重大,じゅうだい,"serious, important",JLPT JLPT_2 JLPT_3,bRTiuj?[St
住宅,じゅうたく,"resident, housing",JLPT JLPT_2 JLPT_3,"bO,.P:9Wr8"
集団,しゅうだん,"group, mass",JLPT JLPT_2 JLPT_3,O[N$vC_)x(
集中,しゅうちゅう,"concentration, focusing the mind",JLPT JLPT_2 JLPT_3,z{<Xu{#h*c
収入,しゅうにゅう,"income, revenue",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,Ow2ez*OE$v
住民,じゅうみん,"inhabitants, residents",JLPT JLPT_2 JLPT_3,M3~&[?-]c=
重要,じゅうよう,"important, essential",JLPT JLPT_2 JLPT_3,d;5d4|x2m2
修理,しゅうり,"repairing, mending",JLPT JLPT_2 JLPT_3,i2Z^HI-&!g
主義,しゅぎ,"doctrine, cause, principle",JLPT JLPT_2 JLPT_3,mm(7ICuhH@
宿泊,しゅくはく,lodging,JLPT JLPT_2 JLPT_3,sJf/S8qo)G
